device,model_name,quantization,seq_len,tokens_generated,latency_seconds,tokens_per_second,prefill_seconds,decode_seconds,before_timestamp,before_cpu_percent,before_ram_bytes,before_battery_percent,before_battery_power_plugged,before_temperature_celsius,after_timestamp,after_cpu_percent,after_ram_bytes,after_battery_percent,after_battery_power_plugged,after_temperature_celsius,delta_battery_percent,energy_percent_per_token,model_family,params_b,kv_quant,prefill_tokens,decode_tokens,repeat_idx,prompt_idx,prompt_char_len
hp_envy,phi-3-mini-3.8b,int8,1024,66,21.77931119996356,3.030398867715818,2.8184948000125587,18.960816399951,1763564116.0432744,12.8,1721548800,91,True,,1763564137.82302,62.4,5697355776,91,True,,0,0.0,phi-3,3.8,0,1024,128,0,0,248
hp_envy,phi-3-mini-3.8b,int8,1024,69,20.16385509999236,3.4219646817451164,1.1839212999911979,18.979933800001163,1763564137.8235667,0.0,5697355776,91,True,,1763564157.987788,63.1,5697802240,91,True,,0,0.0,phi-3,3.8,0,1024,128,0,1,154
hp_envy,phi-3-mini-3.8b,int8,1024,60,20.957555699977092,2.862929287124146,1.923255599976983,19.03430010000011,1763564157.9882116,0.0,5697802240,91,True,,1763564178.9460695,64.0,5698236416,91,True,,0,0.0,phi-3,3.8,0,1024,128,0,2,203
hp_envy,phi-3-mini-3.8b,int8,1024,74,20.86705440003425,3.5462599838661726,1.8899155000108294,18.97713890002342,1763564178.9464629,0.0,5698236416,91,True,,1763564199.813856,62.1,5698510848,92,True,,-1,-0.013513513513513514,phi-3,3.8,0,1024,128,0,3,209
hp_envy,phi-3-mini-3.8b,int8,1024,69,22.337463299976662,3.0889810124532846,2.206663299992215,20.130799999984447,1763564199.814298,0.0,5698510848,92,True,,1763564222.1521313,66.0,5698625536,92,True,,0,0.0,phi-3,3.8,0,1024,128,0,4,199
hp_envy,phi-3-mini-3.8b,int8,1024,73,21.548966699978337,3.387633431169272,2.253861200006213,19.295105499972124,1763564222.1525517,0.0,5698625536,92,True,,1763564243.7018433,64.0,5698736128,92,True,,0,0.0,phi-3,3.8,0,1024,128,0,5,199
hp_envy,phi-3-mini-3.8b,int8,1024,46,24.206948300008662,1.9002808379602125,3.833035599964205,20.373912700044457,1763564243.7022626,0.0,5698736128,92,True,,1763564267.909488,68.8,5699264512,92,True,,0,0.0,phi-3,3.8,0,1024,128,0,6,296
hp_envy,phi-3-mini-3.8b,int8,1024,44,21.801512600039132,2.0182085897985362,2.429249200038612,19.37226340000052,1763564267.9099085,0.0,5699264512,92,True,,1763564289.7117386,62.4,5699485696,92,True,,0,0.0,phi-3,3.8,0,1024,128,0,7,240
hp_envy,phi-3-mini-3.8b,int8,1024,47,21.737154999980703,2.1621964787959476,2.279131299990695,19.458023699990008,1763564289.7122667,0.0,5699485696,92,True,,1763564311.449742,63.2,5699534848,92,True,,0,0.0,phi-3,3.8,0,1024,128,0,8,222
hp_envy,phi-3-mini-3.8b,int8,1024,59,20.62432479998097,2.8606997112484596,2.1407327000051737,18.483592099975795,1763564311.4501822,0.0,5699534848,92,True,,1763564332.074848,60.2,5699698688,92,True,,0,0.0,phi-3,3.8,0,1024,128,0,9,213
hp_envy,phi-3-mini-3.8b,int8,1024,64,21.488190400006715,2.9783801617831904,1.9681221999926493,19.520068200014066,1763564332.0752826,0.0,5699698688,92,True,,1763564353.5637786,63.9,5699776512,92,True,,0,0.0,phi-3,3.8,0,1024,128,0,10,210
hp_envy,phi-3-mini-3.8b,int8,1024,55,22.427707000053488,2.45232381535343,2.1872350000194274,20.24047200003406,1763564353.5642006,0.0,5699776512,92,True,,1763564375.9922216,63.9,5699911680,92,True,,0,0.0,phi-3,3.8,0,1024,128,0,11,211
hp_envy,phi-3-mini-3.8b,int8,1024,69,20.653921900026035,3.340769870922821,1.973947099992074,18.67997480003396,1763564375.9930108,0.0,5699911680,92,True,,1763564396.6472704,60.0,5699969024,93,True,,-1,-0.014492753623188406,phi-3,3.8,0,1024,128,0,12,210
hp_envy,phi-3-mini-3.8b,int8,1024,66,23.270526800013613,2.836205667675791,1.7384524999652058,21.532074300048407,1763564396.647697,0.0,5699969024,93,True,,1763564419.9186397,68.5,5700120576,93,True,,0,0.0,phi-3,3.8,0,1024,128,0,13,187
hp_envy,phi-3-mini-3.8b,int8,1024,61,23.256186400016304,2.622957992801315,2.7566389000276104,20.499547499988694,1763564419.9192479,0.0,5700120576,93,True,,1763564443.1757603,66.5,5700255744,93,True,,0,0.0,phi-3,3.8,0,1024,128,0,14,253
hp_envy,phi-3-mini-3.8b,int8,1024,57,22.222599899978377,2.5649564072858757,2.510158199991565,19.71244169998681,1763564443.1762538,0.0,5700255744,93,True,,1763564465.3993092,64.2,5700308992,93,True,,0,0.0,phi-3,3.8,0,1024,128,0,15,240
hp_envy,phi-3-mini-3.8b,int8,1024,68,21.568151500017848,3.152796844919405,2.8517023000167683,18.71644920000108,1763564465.4000893,0.0,5700308992,93,True,,1763564486.9685385,61.2,5700354048,93,True,,0,0.0,phi-3,3.8,0,1024,128,0,16,244
